PID		NAME		USERNAME
0		System Idle Process		NT AUTHORITY\SYSTEM
4		System		NT AUTHORITY\SYSTEM
108				None
144		Registry		None
552		smss.exe		None
608		csrss.exe		None
924		csrss.exe		None
944		SearchHost.exe		DESKTOP-B4N5JDC\Dell
1008		wininit.exe		None
1032		winlogon.exe		None
1052		services.exe		None
1096		LsaIso.exe		None
1112		lsass.exe		None
1236		svchost.exe		None
1264		fontdrvhost.exe		None
1268		fontdrvhost.exe		None
1304		WUDFHost.exe		None
1388		msedge.exe		DESKTOP-B4N5JDC\Dell
1408		svchost.exe		None
1464		svchost.exe		None
1540		IntelCpHDCPSvc.exe		None
1552		dwm.exe		None
1584		Widgets.exe		DESKTOP-B4N5JDC\Dell
1620		svchost.exe		None
1672		svchost.exe		None
1680		svchost.exe		None
1688		svchost.exe		None
1712		RuntimeBroker.exe		DESKTOP-B4N5JDC\Dell
1804		svchost.exe		None
1816		svchost.exe		None
1824		svchost.exe		None
1836		svchost.exe		None
1908		svchost.exe		None
1916		svchost.exe		None
1940		svchost.exe		None
1948		svchost.exe		None
2020		msedge.exe		DESKTOP-B4N5JDC\Dell
2064		svchost.exe		None
2096		svchost.exe		None
2104		chrome.exe		DESKTOP-B4N5JDC\Dell
2116		svchost.exe		None
2132		svchost.exe		None
2276		chrome.exe		DESKTOP-B4N5JDC\Dell
2336		svchost.exe		None
2356		svchost.exe		None
2416		svchost.exe		None
2440		chrome.exe		DESKTOP-B4N5JDC\Dell
2464		svchost.exe		None
2548		igfxCUIServiceN.exe		None
2696		svchost.exe		None
2772		svchost.exe		None
2780		svchost.exe		None
2836		svchost.exe		None
2896		chrome.exe		DESKTOP-B4N5JDC\Dell
2920		TextInputHost.exe		DESKTOP-B4N5JDC\Dell
2936		svchost.exe		None
2984		svchost.exe		None
3004		svchost.exe		None
3008		svchost.exe		None
3032		svchost.exe		None
3040		chrome.exe		DESKTOP-B4N5JDC\Dell
3064		svchost.exe		DESKTOP-B4N5JDC\Dell
3112		svchost.exe		None
3140		MemCompression		None
3204		svchost.exe		None
3280		RuntimeBroker.exe		DESKTOP-B4N5JDC\Dell
3300		svchost.exe		None
3328		explorer.exe		DESKTOP-B4N5JDC\Dell
3368		RtkAudUService64.exe		None
3396		svchost.exe		None
3468		svchost.exe		None
3528		chrome.exe		DESKTOP-B4N5JDC\Dell
3540		svchost.exe		None
3564		DDVDataCollector.exe		None
3572		svchost.exe		None
3680		svchost.exe		None
3716		svchost.exe		None
3724		svchost.exe		None
3796		svchost.exe		None
3820		svchost.exe		None
3908		svchost.exe		None
3932		RuntimeBroker.exe		DESKTOP-B4N5JDC\Dell
3936		chrome.exe		DESKTOP-B4N5JDC\Dell
3988		spoolsv.exe		None
4028		svchost.exe		None
4188		OneApp.IGCC.WinService.exe		None
4196		svchost.exe		None
4204		Dell.TechHub.exe		None
4212		svchost.exe		None
4220		svchost.exe		None
4228		svchost.exe		None
4252		svchost.exe		None
4260		jhi_service.exe		None
4276		IntelAudioService.exe		None
4308		esif_uf.exe		None
4336		OfficeClickToRun.exe		None
4388		chrome.exe		DESKTOP-B4N5JDC\Dell
4444		MpDefenderCoreService.exe		None
4508		RtkBtManServ.exe		None
4516		RtkAudUService64.exe		None
4536		SmartByteAnalyticsService.exe		None
4544		SmartByteNetworkService.exe		None
4568		sqlwriter.exe		None
4576		RstMwService.exe		None
4604		svchost.exe		None
4624		svchost.exe		None
4632		WavesAudioService.exe		None
4644		chrome.exe		DESKTOP-B4N5JDC\Dell
4728		MsMpEng.exe		None
4744		svchost.exe		None
4760		svchost.exe		None
4776		svchost.exe		None
4804		WMIRegistrationService.exe		None
4812		msedge.exe		DESKTOP-B4N5JDC\Dell
4844		sqlservr.exe		None
4852		WavesSysSvc64.exe		None
4884		SearchIndexer.exe		None
4900		svchost.exe		None
4912		svchost.exe		None
4944		sqlceip.exe		None
4968		svchost.exe		None
5004		servicehost.exe		None
5044		chrome.exe		DESKTOP-B4N5JDC\Dell
5296		taskhostw.exe		DESKTOP-B4N5JDC\Dell
5336		chrome.exe		DESKTOP-B4N5JDC\Dell
5456		RAPSService.exe		None
5956		SystemSettings.exe		DESKTOP-B4N5JDC\Dell
5964		RAPS.exe		None
6024		conhost.exe		None
6124		chrome.exe		DESKTOP-B4N5JDC\Dell
6300		audiodg.exe		None
6308		svchost.exe		None
6560		AggregatorHost.exe		None
6616		FileCoAuth.exe		DESKTOP-B4N5JDC\Dell
6724		svchost.exe		DESKTOP-B4N5JDC\Dell
6736		NisSrv.exe		None
7036		svchost.exe		None
7340		svchost.exe		None
7412		svchost.exe		None
7428		sihost.exe		DESKTOP-B4N5JDC\Dell
7452		Code.exe		DESKTOP-B4N5JDC\Dell
7516		dptf_helper.exe		DESKTOP-B4N5JDC\Dell
7612		svchost.exe		None
7632		igfxEMN.exe		DESKTOP-B4N5JDC\Dell
7644		svchost.exe		DESKTOP-B4N5JDC\Dell
7752		svchost.exe		DESKTOP-B4N5JDC\Dell
7956		svchost.exe		None
7976		LocationNotificationWindows.exe		DESKTOP-B4N5JDC\Dell
8508		backgroundTaskHost.exe		DESKTOP-B4N5JDC\Dell
8532		LockApp.exe		DESKTOP-B4N5JDC\Dell
8604		svchost.exe		None
8612		RuntimeBroker.exe		DESKTOP-B4N5JDC\Dell
8692		RuntimeBroker.exe		DESKTOP-B4N5JDC\Dell
8760		Dell.CoreServices.Client.exe		None
8792		svchost.exe		None
8976		svchost.exe		DESKTOP-B4N5JDC\Dell
9012		Code.exe		DESKTOP-B4N5JDC\Dell
9068		svchost.exe		DESKTOP-B4N5JDC\Dell
9076		svchost.exe		None
9180		svchost.exe		None
9208		StartMenuExperienceHost.exe		DESKTOP-B4N5JDC\Dell
9240		WidgetService.exe		DESKTOP-B4N5JDC\Dell
9312		svchost.exe		DESKTOP-B4N5JDC\Dell
9340		chrome.exe		DESKTOP-B4N5JDC\Dell
9388		Dell.D3.WinSvc.exe		None
9632		dllhost.exe		DESKTOP-B4N5JDC\Dell
9680		chrome.exe		DESKTOP-B4N5JDC\Dell
9720		chrome.exe		DESKTOP-B4N5JDC\Dell
9748		Code.exe		DESKTOP-B4N5JDC\Dell
9800		DellSupportAssistRemedationService.exe		None
10068		FusionService.exe		None
10088		backgroundTaskHost.exe		DESKTOP-B4N5JDC\Dell
10200		ctfmon.exe		DESKTOP-B4N5JDC\Dell
10268		dllhost.exe		DESKTOP-B4N5JDC\Dell
10304		RuntimeBroker.exe		DESKTOP-B4N5JDC\Dell
10520		DDVRulesProcessor.exe		None
10540		svchost.exe		DESKTOP-B4N5JDC\Dell
10600		Code.exe		DESKTOP-B4N5JDC\Dell
10632		chrome.exe		DESKTOP-B4N5JDC\Dell
10840		chrome.exe		DESKTOP-B4N5JDC\Dell
10968		msedge.exe		DESKTOP-B4N5JDC\Dell
11004		Code.exe		DESKTOP-B4N5JDC\Dell
11020		DDVCollectorSvcApi.exe		None
11068		WmiPrvSE.exe		None
11088		RuntimeBroker.exe		DESKTOP-B4N5JDC\Dell
11100		ApplicationFrameHost.exe		DESKTOP-B4N5JDC\Dell
11232		chrome.exe		DESKTOP-B4N5JDC\Dell
11244		WmiPrvSE.exe		None
11352		svchost.exe		None
11420		chrome.exe		DESKTOP-B4N5JDC\Dell
11528		PhoneExperienceHost.exe		DESKTOP-B4N5JDC\Dell
11596		chrome.exe		DESKTOP-B4N5JDC\Dell
11648		SecurityHealthSystray.exe		DESKTOP-B4N5JDC\Dell
11668		SecurityHealthService.exe		None
11784		RtkAudUService64.exe		DESKTOP-B4N5JDC\Dell
11928		RuntimeBroker.exe		DESKTOP-B4N5JDC\Dell
12052		WavesSvc64.exe		DESKTOP-B4N5JDC\Dell
12096		OneDrive.exe		DESKTOP-B4N5JDC\Dell
12536		conhost.exe		None
12664		msedge.exe		DESKTOP-B4N5JDC\Dell
12672		UserOOBEBroker.exe		DESKTOP-B4N5JDC\Dell
12968		DataExchangeHost.exe		DESKTOP-B4N5JDC\Dell
13048		Code.exe		DESKTOP-B4N5JDC\Dell
13248		uihost.exe		DESKTOP-B4N5JDC\Dell
13272		Microsoft.SharePoint.exe		DESKTOP-B4N5JDC\Dell
13420		SupportAssistAgent.exe		None
13468		svchost.exe		DESKTOP-B4N5JDC\Dell
13524		conhost.exe		None
13536		conhost.exe		None
13540		conhost.exe		None
13596		conhost.exe		DESKTOP-B4N5JDC\Dell
13796		ServiceShell.exe		None
13820		chrome.exe		DESKTOP-B4N5JDC\Dell
13848		chrome.exe		DESKTOP-B4N5JDC\Dell
13856		Dell.TechHub.Analytics.SubAgent.exe		None
13892		WZQKPICK.EXE		DESKTOP-B4N5JDC\Dell
13976		Dell.TechHub.Instrumentation.SubAgent.exe		None
13980		Dell.TechHub.DataManager.SubAgent.exe		None
14032		Dell.TechHub.Diagnostics.SubAgent.exe		None
14044		conhost.exe		None
14052		ONENOTEM.EXE		DESKTOP-B4N5JDC\Dell
14088		Dell.DCF.UA.Bradbury.API.SubAgent.exe		None
14112		Code.exe		DESKTOP-B4N5JDC\Dell
14248		chrome.exe		DESKTOP-B4N5JDC\Dell
14292		IGCC.exe		DESKTOP-B4N5JDC\Dell
14428		chrome.exe		DESKTOP-B4N5JDC\Dell
14856		Dell.TechHub.Instrumentation.UserProcess.exe		None
14872		Code.exe		DESKTOP-B4N5JDC\Dell
15012		chrome.exe		DESKTOP-B4N5JDC\Dell
15520		powershell.exe		DESKTOP-B4N5JDC\Dell
15584		Video.UI.exe		DESKTOP-B4N5JDC\Dell
15844		SystemSettingsBroker.exe		DESKTOP-B4N5JDC\Dell
15968		ShellExperienceHost.exe		DESKTOP-B4N5JDC\Dell
16036		chrome.exe		DESKTOP-B4N5JDC\Dell
16256		chrome.exe		DESKTOP-B4N5JDC\Dell
16480		msedge.exe		DESKTOP-B4N5JDC\Dell
16652		chrome.exe		DESKTOP-B4N5JDC\Dell
16876		chrome.exe		DESKTOP-B4N5JDC\Dell
16924		dasHost.exe		None
17244		svchost.exe		None
17380		Code.exe		DESKTOP-B4N5JDC\Dell
17432		chrome.exe		DESKTOP-B4N5JDC\Dell
17524		chrome.exe		DESKTOP-B4N5JDC\Dell
17536		chrome.exe		DESKTOP-B4N5JDC\Dell
17564		Code.exe		DESKTOP-B4N5JDC\Dell
17616		chrome.exe		DESKTOP-B4N5JDC\Dell
17696		RuntimeBroker.exe		DESKTOP-B4N5JDC\Dell
17760		python.exe		DESKTOP-B4N5JDC\Dell
17776		chrome.exe		DESKTOP-B4N5JDC\Dell
17824		chrome.exe		DESKTOP-B4N5JDC\Dell
18088		chrome.exe		DESKTOP-B4N5JDC\Dell
18180		chrome.exe		DESKTOP-B4N5JDC\Dell
18208		chrome.exe		DESKTOP-B4N5JDC\Dell
18220		svchost.exe		None
18656		WhatsApp.exe		DESKTOP-B4N5JDC\Dell
18700		chrome.exe		DESKTOP-B4N5JDC\Dell
18788		chrome.exe		DESKTOP-B4N5JDC\Dell
18864		msedge.exe		DESKTOP-B4N5JDC\Dell
19144		chrome.exe		DESKTOP-B4N5JDC\Dell
19292		conhost.exe		DESKTOP-B4N5JDC\Dell
19356		chrome.exe		DESKTOP-B4N5JDC\Dell
19708		msedge.exe		DESKTOP-B4N5JDC\Dell
19796		Code.exe		DESKTOP-B4N5JDC\Dell
19840		dllhost.exe		DESKTOP-B4N5JDC\Dell
19864		msedge.exe		DESKTOP-B4N5JDC\Dell
19904		svchost.exe		None
20096		chrome.exe		DESKTOP-B4N5JDC\Dell
20320		chrome.exe		DESKTOP-B4N5JDC\Dell
20340		chrome.exe		DESKTOP-B4N5JDC\Dell
20500		RuntimeBroker.exe		DESKTOP-B4N5JDC\Dell
20640		msedge.exe		DESKTOP-B4N5JDC\Dell
20644		svchost.exe		None
20892		Code.exe		DESKTOP-B4N5JDC\Dell
20980		chrome.exe		DESKTOP-B4N5JDC\Dell
21080		svchost.exe		None
21136		svchost.exe		None
21380		chrome.exe		DESKTOP-B4N5JDC\Dell
21408		chrome.exe		DESKTOP-B4N5JDC\Dell
21468		chrome.exe		DESKTOP-B4N5JDC\Dell
21536		powershell.exe		DESKTOP-B4N5JDC\Dell
