----------------------------------------------------------------------
Mayur Process Log
----------------------------------------------------------------------
Content of log file{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'}
{'pid': 108, 'username': None, 'name': ''}
{'pid': 144, 'username': None, 'name': 'Registry'}
{'pid': 556, 'username': None, 'name': 'smss.exe'}
{'pid': 668, 'username': None, 'name': 'svchost.exe'}
{'pid': 700, 'username': None, 'name': 'svchost.exe'}
{'pid': 716, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'svchost.exe'}
{'pid': 812, 'username': None, 'name': 'services.exe'}
{'pid': 928, 'username': None, 'name': 'csrss.exe'}
{'pid': 1008, 'username': None, 'name': 'svchost.exe'}
{'pid': 1012, 'username': None, 'name': 'wininit.exe'}
{'pid': 1032, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'TextInputHost.exe'}
{'pid': 1092, 'username': None, 'name': 'LsaIso.exe'}
{'pid': 1116, 'username': None, 'name': 'lsass.exe'}
{'pid': 1240, 'username': None, 'name': 'svchost.exe'}
{'pid': 1268, 'username': None, 'name': 'fontdrvhost.exe'}
{'pid': 1328, 'username': None, 'name': 'WUDFHost.exe'}
{'pid': 1336, 'username': None, 'name': 'ServiceShell.exe'}
{'pid': 1416, 'username': None, 'name': 'svchost.exe'}
{'pid': 1460, 'username': None, 'name': 'svchost.exe'}
{'pid': 1500, 'username': None, 'name': 'svchost.exe'}
{'pid': 1552, 'username': None, 'name': 'svchost.exe'}
{'pid': 1592, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 1744, 'username': None, 'name': 'svchost.exe'}
{'pid': 1752, 'username': None, 'name': 'svchost.exe'}
{'pid': 1760, 'username': None, 'name': 'svchost.exe'}
{'pid': 1768, 'username': None, 'name': 'svchost.exe'}
{'pid': 1848, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'StartMenuExperienceHost.exe'}
{'pid': 1912, 'username': None, 'name': 'svchost.exe'}
{'pid': 1924, 'username': None, 'name': 'svchost.exe'}
{'pid': 1936, 'username': None, 'name': 'svchost.exe'}
{'pid': 1952, 'username': None, 'name': 'svchost.exe'}
{'pid': 1972, 'username': None, 'name': 'svchost.exe'}
{'pid': 2028, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'RuntimeBroker.exe'}
{'pid': 2036, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 2080, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Code.exe'}
{'pid': 2104, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 2156, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'RtkAudUService64.exe'}
